instance,n,instance_seed,method,search_seed,feasible,distance,makespan,tardiness,late_orders,batches,used_pickers,on_time_rate,objective,preprocessing_seconds,optimization_seconds,total_seconds
synthetic-n20-seed202,20,202,ALNS_NO_2OPT,10,True,608.0,8.353333333333333,27.149251724196546,13,6,3,0.35,0.6342048830050482,0.006952899999305373,0.30139649999910034,0.323382099999435
synthetic-n20-seed203,20,203,B0,1,True,608.0,8.54,47.64062382452157,17,6,3,0.15000000000000002,0.759642122998676,0.008879000000888482,8.540000089851674e-05,0.0114224999997532
synthetic-n20-seed203,20,203,B1,1,True,536.0,8.206666666666667,35.224854796959626,20,6,3,0.0,0.6829271513286871,0.0016622000002826098,0.013532899998608627,0.019502000001011766
synthetic-n20-seed203,20,203,B2,1,True,536.0,8.206666666666667,35.224854796959626,20,6,3,0.0,0.6829271513286871,0.010365999998612097,0.011287799999990966,0.028105399998821667
synthetic-n20-seed203,20,203,B3,1,True,536.0,8.16,35.224854796959626,20,6,3,0.0,0.6811056577039147,0.014510799999698065,0.055687600000965176,0.07197120000091672
synthetic-n20-seed203,20,203,B3,2,True,536.0,8.16,35.224854796959626,20,6,3,0.0,0.6811056577039147,0.0015912999988358933,0.035574699999415316,0.04293559999860008
synthetic-n20-seed203,20,203,B3,3,True,536.0,8.16,35.224854796959626,20,6,3,0.0,0.6811056577039147,0.019303400000353577,0.0650735999988683,0.09162719999949331
synthetic-n20-seed203,20,203,B3,4,True,536.0,8.16,35.224854796959626,20,6,3,0.0,0.6811056577039147,0.020123599999351427,0.07696129999931145,0.09858039999926405
synthetic-n20-seed203,20,203,B3,5,True,536.0,8.16,35.224854796959626,20,6,3,0.0,0.6811056577039147,0.003781199999139062,0.03142929999921762,0.03690110000025015
synthetic-n20-seed203,20,203,B3,6,True,536.0,8.16,35.224854796959626,20,6,3,0.0,0.6811056577039147,0.0015566000001854263,0.019998899999336572,0.023276199999600067
synthetic-n20-seed203,20,203,B3,7,True,536.0,8.16,35.224854796959626,20,6,3,0.0,0.6811056577039147,0.0016622999992250698,0.019767600000704988,0.023155999999289634
synthetic-n20-seed203,20,203,B3,8,True,536.0,8.16,35.224854796959626,20,6,3,0.0,0.6811056577039147,0.0023403999985021073,0.027934800000366522,0.031693999999333755
synthetic-n20-seed203,20,203,B3,9,True,536.0,8.16,35.224854796959626,20,6,3,0.0,0.6811056577039147,0.0025153000005957438,0.019758899999942514,0.02352700000119512
