instance,n,instance_seed,method,search_seed,feasible,distance,makespan,tardiness,late_orders,batches,used_pickers,on_time_rate,objective,preprocessing_seconds,optimization_seconds,validation_seconds,total_seconds
synthetic-n20-seed401,20,401,B3,10,True,608.0,11.346666666666668,26.465398806796518,16,4,3,0.19999999999999996,0.6764374970608664,0.002017900002101669,0.007266399999934947,0.0003175000019837171,0.010034499999164836
synthetic-n20-seed401,20,401,LNS,1,True,568.0,8.14,29.274232969973802,15,5,3,0.25,0.565879512470845,0.002593100001831772,0.23700040000039735,0.0003184000015608035,0.24042040000131237
synthetic-n20-seed401,20,401,LNS,2,True,536.0,8.426666666666666,28.2423952476597,15,4,3,0.25,0.5569613717620587,0.0017818000014813151,0.21401259999765898,0.00029680000079679303,0.21661110000059125
synthetic-n20-seed401,20,401,LNS,3,True,560.0,8.153333333333334,19.80015801065155,16,5,3,0.19999999999999996,0.5482908320341657,0.0016677000021445565,0.20925119999810704,0.00034469999809516594,0.21174930000051972
synthetic-n20-seed401,20,401,LNS,4,True,496.0,7.913333333333333,25.54645675774973,15,4,3,0.25,0.5179446505057347,0.0018673999984457623,0.24212870000337716,0.0005399000001489185,0.24543099999937112
synthetic-n20-seed401,20,401,LNS,5,True,552.0,8.446666666666665,19.127741596834106,13,5,3,0.35,0.552006380215097,0.003851499997836072,0.23211090000040713,0.00038750000021536835,0.23695669999870006
synthetic-n20-seed401,20,401,LNS,6,True,504.0,8.266666666666667,23.33087291718745,16,4,3,0.19999999999999996,0.5290890625007704,0.002277499999763677,0.25154579999798443,0.0003130999975837767,0.25456800000029034
synthetic-n20-seed401,20,401,LNS,7,True,504.0,7.846666666666667,29.545118031279067,17,4,3,0.15000000000000002,0.5258556972849295,0.0016977999985101633,0.26924249999865424,0.00030509999851346947,0.27170420000038575
synthetic-n20-seed401,20,401,LNS,8,True,544.0,8.146666666666667,18.938992163835884,13,5,3,0.35,0.5388831714643012,0.0017809000019042287,0.16987950000111596,0.00030730000071343966,0.1723947999998927
synthetic-n20-seed401,20,401,LNS,9,True,536.0,8.946666666666667,23.01608916020599,15,4,3,0.25,0.5646147651238137,0.0017175000029965304,0.18714850000105798,0.00039900000047055073,0.1902291000005789
synthetic-n20-seed401,20,401,LNS,10,True,512.0,8.113333333333333,26.39415652652606,15,4,3,0.25,0.5330523119463497,0.0018918999994639307,0.21234320000075968,0.00030590000096708536,0.21499860000039916
synthetic-n20-seed401,20,401,ALNS,1,True,552.0,8.366666666666667,34.25523993993559,16,4,3,0.19999999999999996,0.5720174724386198,0.0018008000006375369,0.1907844000015757,0.00030470000274362974,0.1933309999985795
synthetic-n20-seed401,20,401,ALNS,2,True,560.0,8.113333333333333,26.5823476966934,15,5,3,0.25,0.5571402250608548,0.0021131000030436553,0.20425800000157324,0.000307099999190541,0.20710600000165869
synthetic-n20-seed401,20,401,ALNS,3,True,536.0,8.353333333333333,19.739178983913423,16,5,3,0.19999999999999996,0.5422130242318621,0.0017573000004631467,0.1816198999986227,0.0003178999977535568,0.1841247000011208
synthetic-n20-seed401,20,401,ALNS,4,True,512.0,8.473333333333333,25.689626444558066,16,4,3,0.19999999999999996,0.5426609952570479,0.001942799997777911,0.18252790000042296,0.00039119999928516336,0.18544760000077076
synthetic-n20-seed401,20,401,ALNS,5,True,568.0,8.306666666666667,22.46212110438524,18,5,3,0.09999999999999998,0.5607333903817101,0.0018641000024217647,0.22537799999918207,0.0003198000013071578,0.22803159999966738
synthetic-n20-seed401,20,401,ALNS,6,True,504.0,8.266666666666667,23.33087291718745,16,4,3,0.19999999999999996,0.5290890625007704,0.00203700000201934,0.17930469999919296,0.00038159999894560315,0.18227660000047763
synthetic-n20-seed401,20,401,ALNS,7,True,576.0,8.133333333333333,24.64532809871158,16,5,3,0.19999999999999996,0.5628030353672121,0.0017752999992808327,0.1976052999998501,0.00035539999953471124,0.20021379999889177
